Number: 1 371;No;Name;TypeNo;VolVehPrT(AP);SS,VolVehPrT(AP);VolVeh_nad 3,5 t (AP);SS,VolVeh_nad 3,5 t (AP);WKTPolyWGS84
866;17763;DALNICE D1;16;107652;111309;5524;17047;LINESTRING(14.5273 50.0151,14.5323 50.0131,14.5369 50.0115)
867;17764;DALNICE D1;16;107652;111309;5524;17047;LINESTRING(14.5510 50.0081,14.5455 50.0092,14.5398 50.0106,14.5369 50.0115)
868;17894;;27;9477;7805;1172;1412;LINESTRING(14.7037 50.1237,14.7047 50.1216)
869;17978;;75;11128;10333;284;444;LINESTRING(14.5158 50.0686,14.5192 50.0682,14.5199 50.0681,14.5202 50.0680,14.5206 50.0679)
870;17979;;75;16134;;639;;LINESTRING(14.5245 50.0652,14.5237 50.0655,14.5233 50.0659)
871;17980;JIZNI SPOJKA;51;106442;96364;6564;18246;LINESTRING(14.5021 50.0615,14.5031 50.0613,14.5048 50.0611,14.5057 50.0610,14.5062 50.0610,14.5067 50.0610,14.5079 50.0611,14.5090 50.0614,14.5136 50.0629,14.5146 50.0633,14.5155 50.0637)
872;17981;JIZNI SPOJKA;51;101436;92475;6209;17808;LINESTRING(14.5243 50.0683,14.5366 50.0721)
873;17982;JIZNI SPOJKA;53;52401;46864;3057;8891;LINESTRING(14.5243 50.0683,14.5220 50.0675)
874;17984;JIZNI SPOJKA;53;54041;49500;3507;9355;LINESTRING(14.5155 50.0637,14.5188 50.0647)
875;17985;JIZNI SPOJKA;53;49035;45611;3152;8917;LINESTRING(14.5188 50.0647,14.5208 50.0654)
876;17986;;51;49035;45611;3152;8917;LINESTRING(14.5223 50.0660,14.5219 50.0658,14.5214 50.0656,14.5208 50.0654)
877;17991;;75;11128;10333;284;444;LINESTRING(14.5231 50.0660,14.5206 50.0679)
878;17992;JIZNI SPOJKA;94;49035;45611;3152;8917;LINESTRING(14.5223 50.0660,14.5229 50.0669,14.5231 50.0674,14.5234 50.0677,14.5243 50.0683)
879;17997;;75;16134;;639;;LINESTRING(14.5233 50.0659,14.5231 50.0660)
880;18139;U PLYNARNY;75;16199;16859;396;291;LINESTRING(14.4545 50.0553,14.4567 50.0556,14.4590 50.0564)
881;18153;;16;88773;82658;3369;13001;LINESTRING(14.4933 50.0312,14.4928 50.0324,14.4921 50.0341,14.4917 50.0350)
882;18154;;99;7511;6700;219;220;LINESTRING(14.4920 50.0349,14.4922 50.0349,14.4923 50.0350,14.4926 50.0352,14.4926 50.0354)
883;18155;;96;6835;10162;421;1705;LINESTRING(14.4933 50.0312,14.4932 50.0321,14.4920 50.0349)
884;18156;;96;10136;13293;380;1750;LINESTRING(14.4920 50.0349,14.4914 50.0362,14.4909 50.0368,14.4904 50.0374,14.4900 50.0377,14.4893 50.0384)
885;18158;;96;30367;30312;1227;2031;LINESTRING(14.4910 50.0355,14.4926 50.0321)
886;18159;;96;21088;22101;1214;1911;LINESTRING(14.4926 50.0321,14.4933 50.0312)
887;18161;;98;18259;16567;609;592;LINESTRING(14.4926 50.0321,14.4925 50.0321,14.4923 50.0321,14.4921 50.0322,14.4919 50.0324)
888;18162;;98;17651;16719;604;584;LINESTRING(14.4907 50.0337,14.4915 50.0331,14.4919 50.0324)
889;18231;;81;2470;0;63;0;LINESTRING(14.6331 50.0113,14.6336 50.0122,14.6342 50.0129,14.6357 50.0140,14.6372 50.0147,14.6381 50.0154)
890;18237;DALNICE D11;16;75952;61576;12352;11910;LINESTRING(14.5980 50.0987,14.5988 50.0987,14.6000 50.0986,14.6015 50.0987,14.6031 50.0988,14.6053 50.0991,14.6068 50.0994,14.6079 50.0997,14.6096 50.1002,14.6117 50.1009,14.6137 50.1017,14.6157 50.1025,14.6167 50.1030,14.6184 50.1037,14.6193 50.1041,14.6218 50.1049,14.6233 50.1053)
891;18238;DALNICE D11;16;75952;61576;12352;11910;LINESTRING(14.6233 50.1053,14.6238 50.1054,14.6255 50.1058,14.6297 50.1069,14.6357 50.1082,14.6439 50.1100)
892;18239;VE ZLIBKU;75;9670;9195;403;349;LINESTRING(14.6245 50.1070,14.6249 50.1054,14.6253 50.1051,14.6259 50.1048)
893;18240;VE ZLIBKU;75;9670;9195;403;349;LINESTRING(14.6254 50.1011,14.6252 50.1036,14.6253 50.1041,14.6255 50.1044,14.6259 50.1048)
894;18243;;75;3062;0;0;0;LINESTRING(14.6413 50.1102,14.6388 50.1109)
895;18246;;99;6867;0;859;0;LINESTRING(14.6439 50.1100,14.6436 50.1106,14.6431 50.1108,14.6425 50.1110)
896;18247;;99;5394;0;492;0;LINESTRING(14.6439 50.1100,14.6442 50.1095,14.6441 50.1091,14.6434 50.1083)
897;18248;;75;5394;0;492;0;LINESTRING(14.6413 50.1102,14.6413 50.1099,14.6417 50.1090,14.6423 50.1086,14.6434 50.1083)
898;18250;;81;4926;0;97;0;LINESTRING(14.6756 50.1020,14.6693 50.1044)
899;18253;;81;2896;3581;529;470;LINESTRING(14.6027 50.1179,14.6094 50.1194)
900;18254;;81;2490;3579;687;384;LINESTRING(14.6026 50.1212,14.6059 50.1218)
901;18255;;81;2490;3579;687;384;LINESTRING(14.6059 50.1218,14.6080 50.1222)
902;18260;OBCHODNI CCM;72;21826;16727;525;311;LINESTRING(14.5856 50.1020,14.5887 50.1032,14.5890 50.1033)
903;18261;;81;10480;7390;346;153;LINESTRING(14.6080 50.1040,14.6075 50.1045,14.6065 50.1050,14.6059 50.1053,14.6055 50.1058,14.6049 50.1066)
904;18263;;81;1373;60;95;20;LINESTRING(14.5974 50.1059,14.6049 50.1066)
905;18265;NOVOPACKA;16;83166;74581;12433;9728;LINESTRING(14.6245 50.1283,14.6215 50.1272,14.6188 50.1264,14.6162 50.1256,14.6126 50.1247,14.6090 50.1239,14.6072 50.1235,14.6054 50.1231)
906;18315;V KORYTECH;75;22532;17199;632;400;LINESTRING(14.4945 50.0617,14.4943 50.0627)
907;18319;;82;2663;1845;23;23;LINESTRING(14.4712 50.0616,14.4753 50.0615)
